locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLGBHGLA_00010	CDS	1821	infB		COG0532	putative translation initiation factor IF-2
FLGBHGLA_00010	gene	1821	infB			
FLGBHGLA_00020	CDS	1302	dld	1.1.99.6	COG0277	D-lactate dehydrogenase (acceptor)
FLGBHGLA_00020	gene	1302	dld			
FLGBHGLA_00030	CDS	423				hypothetical protein
FLGBHGLA_00030	gene	423				
FLGBHGLA_00040	CDS	579				hypothetical protein
FLGBHGLA_00040	gene	579				
FLGBHGLA_00050	CDS	738	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
FLGBHGLA_00050	gene	738	queE_1			
FLGBHGLA_00060	CDS	381				hypothetical protein
FLGBHGLA_00060	gene	381				
FLGBHGLA_00070	CDS	1974	rgy_1		COG1110	Reverse gyrase
FLGBHGLA_00070	gene	1974	rgy_1			
FLGBHGLA_00080	CDS	816				hypothetical protein
FLGBHGLA_00080	gene	816				
FLGBHGLA_00090	CDS	1959	rnj_1	3.1.-.-	COG0595	Ribonuclease J
FLGBHGLA_00090	gene	1959	rnj_1			
FLGBHGLA_00100	CDS	432				hypothetical protein
FLGBHGLA_00100	gene	432				
FLGBHGLA_00110	CDS	525	moaB	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
FLGBHGLA_00110	gene	525	moaB			
FLGBHGLA_00120	CDS	435			COG1371	Protein archease
FLGBHGLA_00120	gene	435				
FLGBHGLA_00130	CDS	1455	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
FLGBHGLA_00130	gene	1455	gatB			
FLGBHGLA_00140	CDS	405				hypothetical protein
FLGBHGLA_00140	gene	405				
FLGBHGLA_00150	CDS	642				hypothetical protein
FLGBHGLA_00150	gene	642				
FLGBHGLA_00160	CDS	2232				hypothetical protein
FLGBHGLA_00160	gene	2232				
FLGBHGLA_00170	CDS	3054				hypothetical protein
FLGBHGLA_00170	gene	3054				
FLGBHGLA_00180	CDS	1104	aroB	4.2.3.4		3-dehydroquinate synthase
FLGBHGLA_00180	gene	1104	aroB			
FLGBHGLA_00190	CDS	711				hypothetical protein
FLGBHGLA_00190	gene	711				
FLGBHGLA_00200	CDS	426				hypothetical protein
FLGBHGLA_00200	gene	426				
FLGBHGLA_00210	CDS	1155		6.3.4.21	COG1488	Putative nicotinate phosphoribosyltransferase
FLGBHGLA_00210	gene	1155				
FLGBHGLA_00220	CDS	486	proB	2.7.2.11		Glutamate 5-kinase
FLGBHGLA_00220	gene	486	proB			
FLGBHGLA_00230	CDS	702				hypothetical protein
FLGBHGLA_00230	gene	702				
FLGBHGLA_00240	CDS	375				hypothetical protein
FLGBHGLA_00240	gene	375				
FLGBHGLA_00250	CDS	1815	aor_1	1.2.7.5	COG2414	Tungsten-containing aldehyde ferredoxin oxidoreductase
FLGBHGLA_00250	gene	1815	aor_1			
FLGBHGLA_00260	CDS	417				hypothetical protein
FLGBHGLA_00260	gene	417				
FLGBHGLA_00270	CDS	333				hypothetical protein
FLGBHGLA_00270	gene	333				
FLGBHGLA_00280	CDS	240				hypothetical protein
FLGBHGLA_00280	gene	240				
FLGBHGLA_00290	CDS	309	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
FLGBHGLA_00290	gene	309	hisE			
FLGBHGLA_00300	CDS	594	hisH	2.4.2.-		Imidazole glycerol phosphate synthase subunit HisH
FLGBHGLA_00300	gene	594	hisH			
FLGBHGLA_00310	CDS	585				hypothetical protein
FLGBHGLA_00310	gene	585				
FLGBHGLA_00320	CDS	390				hypothetical protein
FLGBHGLA_00320	gene	390				
FLGBHGLA_00330	CDS	489				hypothetical protein
FLGBHGLA_00330	gene	489				
FLGBHGLA_00340	CDS	1215				hypothetical protein
FLGBHGLA_00340	gene	1215				
FLGBHGLA_00350	CDS	660				hypothetical protein
FLGBHGLA_00350	gene	660				
FLGBHGLA_00360	CDS	1941				hypothetical protein
FLGBHGLA_00360	gene	1941				
FLGBHGLA_00370	CDS	360				hypothetical protein
FLGBHGLA_00370	gene	360				
