accession	IPR	IPRMdescription	IPR_PFAM	IPR_PFAMdescription
GCA_000008085-CALJACFG_00010	IPR011545;_IPR014001;_IPR027417;_IPR001650;_IPR003593	DEAD/DEAH_box_helicase_domain;_Helicase_superfamily_1/2,_ATP-binding_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase;_Helicase,_C-terminal;_AAA+_ATPase_domain	PF00270;_PF00271	DEAD/DEAH_box_helicase;_Helicase_conserved_C-terminal_domain
GCA_000008085-CALJACFG_00020	-	-	-	-
GCA_000008085-CALJACFG_00030	IPR002804;_IPR023572;_IPR036820	Archease;_Archease_domain;_Archease_domain_superfamily	PF01951	Archease_protein_family_(MTH1598/TM1083)
GCA_000008085-CALJACFG_00040	IPR007364;_IPR016742;_IPR028564	RNA_methyltransferase_TK0422/Sfm1;_tRNA_methyltransferase,_archaea;_tRNA_methyltransferase_TRM10-type_domain	PF04252	Predicted_SAM-dependent_RNA_methyltransferase
GCA_000008085-CALJACFG_00050	IPR001497;_IPR014048;_IPR036388;_IPR036217	Methylated-DNA-[protein]-cysteine_S-methyltransferase,_active_site;_Methylated-DNA-[protein]-cysteine_S-methyltransferase,_DNA_binding;_Winged_helix-like_DNA-binding_domain_superfamily;_Methylated_DNA-protein_cysteine_methyltransferase,_DNA_binding_domain	PF01035	6-O-methylguanine_DNA_methyltransferase,_DNA_binding_domain
GCA_000008085-CALJACFG_00060	-	-	-	-
GCA_000008085-CALJACFG_00070	IPR001569;_IPR011332;_IPR011331	Ribosomal_protein_L37e;_Zinc-binding_ribosomal_protein;_Ribosomal_protein_L37ae/L37e	PF01907	Ribosomal_protein_L37e
GCA_000008085-CALJACFG_00080	IPR007197;_IPR005839;_IPR002792;_IPR013848;_IPR038135;_IPR006638;_IPR006466;_IPR023404	Radical_SAM;_Methylthiotransferase;_TRAM_domain;_Methylthiotransferase,_N-terminal;_Methylthiotransferase,_N-terminal_domain_superfamily;_Elp3/MiaB/NifB;_MiaB-like_tRNA_modifying_enzyme,_archaeal-type;_Radical_SAM,_alpha/beta_horseshoe	PF01938;_PF04055;_PF00919	TRAM_domain;_Radical_SAM_superfamily;_Uncharacterized_protein_family_UPF0004
GCA_000008085-CALJACFG_00090	-	-	-	-
GCA_000008085-CALJACFG_00100	-	-	-	-
GCA_000008085-CALJACFG_00110	IPR002742;_IPR036073	Desulfoferrodoxin,_ferrous_iron-binding_domain;_Desulfoferrodoxin,_ferrous_iron-binding_domain_superfamily	PF01880	Desulfoferrodoxin
GCA_000008085-CALJACFG_00120	IPR028098	Glycosyltransferase_subfamily_4-like,_N-terminal_domain	PF13692;_PF13439	Glycosyl_transferases_group_1;_Glycosyltransferase_Family_4
GCA_000008085-CALJACFG_00130	IPR007197;_IPR023885;_IPR034481;_IPR034395;_IPR013785	Radical_SAM;_4Fe4S-binding_SPASM_domain;_Main_SPASM_domain-containing;_SPASM/twitch_domain-containing;_Aldolase-type_TIM_barrel	PF13394;_PF13186;_PF04055	4Fe-4S_single_cluster_domain;_Iron-sulfur_cluster-binding_domain;_Radical_SAM_superfamily
GCA_000008085-CALJACFG_00140	IPR038665;_IPR004695	Voltage-dependent_anion_channel_superfamily;_Voltage-dependent_anion_channel	PF03595	Voltage-dependent_anion_channel
GCA_000008085-CALJACFG_00150	IPR036098;_IPR003669	Thymidylate_synthase_ThyX_superfamily;_Thymidylate_synthase_ThyX	PF02511	Thymidylate_synthase_complementing_protein
GCA_000008085-CALJACFG_00160	-	-	-	-
GCA_000008085-CALJACFG_00170	IPR021127;_IPR019199	CRISPR-associated_endonuclease_Cas2;_Virulence-associated_protein_D_/_CRISPR_associated_protein_Cas2	PF09827	CRISPR_associated_protein_Cas2
GCA_000008085-CALJACFG_00180	IPR002729;_IPR019858	CRISPR-associated_protein_Cas1;_CRISPR-associated_protein_Cas1,_HMARI/TNEAP_subtype	PF01867	CRISPR_associated_protein_Cas1
GCA_000008085-CALJACFG_00190	-	-	-	-
GCA_000008085-CALJACFG_00200	IPR010154;_IPR013414	CRISPR-associated_protein_Cas7/Cst2/DevR;_CRISPR-associated_protein_Cas7,__subtype_I-B/Tneap	PF01905	CRISPR-associated_negative_auto-regulator_DevR/Csa2
GCA_000008085-CALJACFG_00210	IPR013422	CRISPR-associated_protein_Cas5,_N-terminal	-	-
