accession	NCBI_COG	NCBI_COG_Description	PathwayID	Pathway	NCBI_COG_evalue
GCA_000008085-CALJACFG_00010	COG1201	Lhr-like_helicase	L	-	3.7e-245
GCA_000008085-CALJACFG_00020	COG1047	Peptidyl-prolyl_cis-trans_isomerase,_FKBP_type	O	-	1.1e-19
GCA_000008085-CALJACFG_00030	COG1371	Archease,_activates_RNA_ligation_by_RtcB_(tRNA_splicing)	J	-	8.3e-35
GCA_000008085-CALJACFG_00040	COG2419	tRNA_(A,G)9-N-methylase_TRM10	J	tRNA_modification	9.9e-90
GCA_000008085-CALJACFG_00050	-	-	-	-	-
GCA_000008085-CALJACFG_00060	-	-	-	-	-
GCA_000008085-CALJACFG_00070	COG2126	Ribosomal_protein_L37E	J	Archaeal_ribosomal_proteins	1.2e-18
GCA_000008085-CALJACFG_00080	COG0621	tRNA_A37_methylthiotransferase_MiaB	J	tRNA_modification	3.3e-101
GCA_000008085-CALJACFG_00090	-	-	-	-	-
GCA_000008085-CALJACFG_00100	-	-	-	-	-
GCA_000008085-CALJACFG_00110	COG2033	Desulfoferrodoxin,_superoxide_reductase-like_(SORL)_domain	C	-	1e-20
GCA_000008085-CALJACFG_00120	COG4641	Spore_maturation_protein_CgeB	D	-	1.5e-15
GCA_000008085-CALJACFG_00130	COG0641	Sulfatase_maturation_enzyme_AslB,_radical_SAM_superfamily	O	-	2.9e-41
GCA_000008085-CALJACFG_00140	COG1275	Tellurite_resistance_protein_TehA_and_related_permeases	V	-	2.8e-75
GCA_000008085-CALJACFG_00150	COG1351	Thymidylate_synthase_ThyX,_FAD-dependent_family	F	Thymidylate_biosynthesis	4.4e-54
GCA_000008085-CALJACFG_00160	-	-	-	-	-
GCA_000008085-CALJACFG_00170	COG1343	CRISPR/Cas_system-associated_endoribonuclease_Cas2	V	CRISPR-Cas_system	2.1e-18
GCA_000008085-CALJACFG_00180	COG1518	CRISPR-Cas_system-associated_integrase_Cas1	V	CRISPR-Cas_system	6.9e-72
GCA_000008085-CALJACFG_00190	-	-	-	-	-
GCA_000008085-CALJACFG_00200	COG1857	CRISPR-Cas_system_type_I_effector_complex_subunit_Cas7,__RAMP_superfamily	V	CRISPR-Cas_system	2.2e-37
GCA_000008085-CALJACFG_00210	-	-	-	-	-
GCA_000008085-CALJACFG_00220	COG1203	CRISPR-Cas_type_I_system-associated_endonuclease/helicase_Cas3	V	CRISPR-Cas_system	4.4e-109
GCA_000008085-CALJACFG_00230	COG1468	CRISPR/Cas_system-associated_exonuclease_Cas4,_RecB_family	V	CRISPR-Cas_system	1.2e-23
GCA_000008085-CALJACFG_00240	COG0612	Predicted_Zn-dependent_peptidase,_M16_family	R	-	1e-15
GCA_000008085-CALJACFG_00250	COG0612	Predicted_Zn-dependent_peptidase,_M16_family	R	-	3.8e-30
GCA_000008085-CALJACFG_00260	COG1252	NADH_dehydrogenase,_FAD-containing_subunit	C	-	1.3e-50
GCA_000008085-CALJACFG_00270	COG1208	NDP-sugar_pyrophosphorylase,_includes_eIF-2Bgamma,_eIF-2Bepsilon,_and_LPS_biosynthesis_protein_s	JM	-	2.2e-39
GCA_000008085-CALJACFG_00280	-	-	-	-	-
GCA_000008085-CALJACFG_00290	COG2234	Zn-dependent_amino-_or_carboxypeptidase,_M28_family	OE	-	6e-08
GCA_000008085-CALJACFG_00300	-	-	-	-	-
GCA_000008085-CALJACFG_00310	-	-	-	-	-
GCA_000008085-CALJACFG_00320	COG0785	Cytochrome_c_biogenesis_protein_CcdA	CO	-	1.5e-24
