accession	KO_hmm	e_value	bit_score	bit_score_cutoff	Definition	confidence
GCA_000008085-CALJACFG_00010	K03724	8.5e-225	745.8	268.03	ATP-dependent_helicase_Lhr_and_Lhr-like_helicase_[EC:3.6.4.-]	high_score
GCA_000008085-CALJACFG_00020	K03774	9.9e-17	58.2	139.97	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_SlpA_[EC:5.2.1.8]	-
GCA_000008085-CALJACFG_00030	-	-	-	-	-	-
GCA_000008085-CALJACFG_00040	K15566	2.6e-78	260.2	184.00	tRNA_(adenine9-N1/guanine9-N1)-methyltransferase_[EC:2.1.1.218_2.1.1.221]	high_score
GCA_000008085-CALJACFG_00050	K00567	7.4e-19	65.3	100.93	methylated-DNA-[protein]-cysteine_S-methyltransferase_[EC:2.1.1.63]	-
GCA_000008085-CALJACFG_00060	-	-	-	-	-	-
GCA_000008085-CALJACFG_00070	K02922	7e-15	52.0	48.60	large_subunit_ribosomal_protein_L37e	high_score
GCA_000008085-CALJACFG_00080	K15865	3e-126	418.5	343.70	threonylcarbamoyladenosine_tRNA_methylthiotransferase_CDKAL1_[EC:2.8.4.5]	high_score
GCA_000008085-CALJACFG_00090	-	-	-	-	-	-
GCA_000008085-CALJACFG_00100	-	-	-	-	-	-
GCA_000008085-CALJACFG_00110	K05919	1.6e-27	93.2	33.37	superoxide_reductase_[EC:1.15.1.2]	high_score
GCA_000008085-CALJACFG_00120	K21001	2.1e-41	139.3	298.70	polysaccharide_biosynthesis_protein_PslH	-
GCA_000008085-CALJACFG_00130	K22227	1.1e-46	156.5	341.43	heme_synthase	-
GCA_000008085-CALJACFG_00140	K03304	4e-84	279.4	157.77	tellurite_resistance_protein	high_score
GCA_000008085-CALJACFG_00150	K03465	4.6e-40	134.5	51.00	thymidylate_synthase_(FAD)_[EC:2.1.1.148]	high_score
GCA_000008085-CALJACFG_00160	-	-	-	-	-	-
GCA_000008085-CALJACFG_00170	K09951	1.9e-14	50.8	18.60	CRISPR-associated_protein_Cas2	high_score
GCA_000008085-CALJACFG_00180	K15342	8.1e-63	210.0	25.77	CRISP-associated_protein_Cas1	high_score
GCA_000008085-CALJACFG_00190	-	-	-	-	-	-
GCA_000008085-CALJACFG_00200	K19075	3.6e-49	164.6	114.10	CRISPR-associated_protein_Cst2	high_score
GCA_000008085-CALJACFG_00210	K19116	5e-14	49.8	101.73	CRISPR-associated_protein_Cas5h	-
GCA_000008085-CALJACFG_00220	K07012	1.3e-107	357.9	143.63	CRISPR-associated_endonuclease/helicase_Cas3_[EC:3.1.-.-_3.6.4.-]	high_score
GCA_000008085-CALJACFG_00230	K07464	1.2e-20	71.5	71.13	CRISPR-associated_exonuclease_Cas4_[EC:3.1.12.1]	high_score
GCA_000008085-CALJACFG_00240	K07263	2.1e-16	57.0	276.73	zinc_protease_[EC:3.4.24.-]	-
GCA_000008085-CALJACFG_00250	K07263	1.7e-31	106.8	276.73	zinc_protease_[EC:3.4.24.-]	-
GCA_000008085-CALJACFG_00260	K17218	3.2e-59	197.8	212.37	sulfide:quinone_oxidoreductase_[EC:1.8.5.4]	-
GCA_000008085-CALJACFG_00270	K00973	7e-42	140.8	243.07	glucose-1-phosphate_thymidylyltransferase_[EC:2.7.7.24]	-
GCA_000008085-CALJACFG_00280	-	-	-	-	-	-
GCA_000008085-CALJACFG_00290	-	-	-	-	-	-
GCA_000008085-CALJACFG_00300	-	-	-	-	-	-
GCA_000008085-CALJACFG_00310	K03981	8.4e-06	22.6	118.53	thiol:disulfide_interchange_protein_DsbC_[EC:5.3.4.1]	-
GCA_000008085-CALJACFG_00320	K06196	3.9e-10	36.8	119.03	cytochrome_c-type_biogenesis_protein	-
GCA_000008085-CALJACFG_00330	K06961	8.8e-15	51.4	74.30	ribosomal_RNA_assembly_protein	-
GCA_000008085-CALJACFG_00340	-	-	-	-	-	-
GCA_000008085-CALJACFG_00350	-	-	-	-	-	-
GCA_000008085-CALJACFG_00360	-	-	-	-	-	-
GCA_000008085-CALJACFG_00370	-	-	-	-	-	-
GCA_000008085-CALJACFG_00380	-	-	-	-	-	-
GCA_000008085-CALJACFG_00390	K02921	1.6e-23	79.8	33.33	large_subunit_ribosomal_protein_L37Ae	high_score
GCA_000008085-CALJACFG_00400	K04796	2e-17	59.5	77.30	small_nuclear_ribonucleoprotein	-
GCA_000008085-CALJACFG_00410	K03120	1.5e-28	97.1	50.50	transcription_initiation_factor_TFIID_TATA-box-binding_protein	high_score
GCA_000008085-CALJACFG_00420	-	-	-	-	-	-
GCA_000008085-CALJACFG_00430	K19302	2e-07	28.4	80.00	undecaprenyl-diphosphatase_[EC:3.6.1.27]	-
GCA_000008085-CALJACFG_00440	K01299	2.2e-170	564.5	87.10	carboxypeptidase_Taq_[EC:3.4.17.19]	high_score
GCA_000008085-CALJACFG_00450	-	-	-	-	-	-
GCA_000008085-CALJACFG_00460	K08851	1.1e-41	139.6	195.87	TP53_regulating_kinase_and_related_kinases_[EC:2.7.11.1]	-
GCA_000008085-CALJACFG_00470	K03168	1e-89	299.0	431.17	DNA_topoisomerase_I_[EC:5.6.2.1]	-
GCA_000008085-CALJACFG_00480	K21029	1.6e-16	57.6	293.77	molybdopterin-synthase_adenylyltransferase_[EC:2.7.7.80]	-
GCA_000008085-CALJACFG_00490	-	-	-	-	-	-
GCA_000008085-CALJACFG_00500	K07076	2.7e-11	41.0	50.97	uncharacterized_protein	-
GCA_000008085-CALJACFG_00510	K06936	1.2e-41	139.6	151.30	uncharacterized_protein	-
GCA_000008085-CALJACFG_00520	K21832	2.2e-31	105.7	403.17	glycine_betaine_catabolism_B	-
GCA_000008085-CALJACFG_00530	K03265	9.8e-91	301.4	82.23	peptide_chain_release_factor_subunit_1	high_score
GCA_000008085-CALJACFG_00540	K03215	5.1e-99	329.4	279.80	23S_rRNA_(uracil1939-C5)-methyltransferase_[EC:2.1.1.190]	high_score
GCA_000008085-CALJACFG_00550	-	-	-	-	-	-
GCA_000008085-CALJACFG_00560	K01883	6.1e-150	497.1	351.50	cysteinyl-tRNA_synthetase_[EC:6.1.1.16]	high_score
GCA_000008085-CALJACFG_00570	K10725	3e-90	299.9	196.43	archaeal_cell_division_control_protein_6	high_score
