accession	BinID	NewContigID	OldContigId	ContigIdMerge	ContigNewLength	ContigOldLength	GC	ProteinID	ProteinGC	ProteinLength	Prokka
GCA_000008085-CALJACFG_00010	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00010	0.049	602	ATP-dependent DNA helicase Hel308
GCA_000008085-CALJACFG_00020	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00020	0.08	173	Putative FKBP-type peptidyl-prolyl cis-trans isomerase
GCA_000008085-CALJACFG_00030	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00030	0.072	152	Protein archease
GCA_000008085-CALJACFG_00040	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00040	0.042	306	tRNA (adenine(9)-N1)-methyltransferase
GCA_000008085-CALJACFG_00050	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00050	0.073	136	Methylated-DNA--protein-cysteine methyltransferase
GCA_000008085-CALJACFG_00060	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00060	0.039	177	hypothetical protein
GCA_000008085-CALJACFG_00070	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00070	0.16	56	50S ribosomal protein L37e
GCA_000008085-CALJACFG_00080	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00080	0.062	413	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
GCA_000008085-CALJACFG_00090	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00090	0.071	98	hypothetical protein
GCA_000008085-CALJACFG_00100	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00100	0.052	341	hypothetical protein
GCA_000008085-CALJACFG_00110	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00110	0.073	109	Superoxide reductase
GCA_000008085-CALJACFG_00120	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00120	0.052	346	hypothetical protein
