accession	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue
GCA_000008085-CALJACFG_00010	arCOG00557	Lhr	Lhr-like_helicase_with_C-terminal_Zn_finger_domain	R	7.6e-216
GCA_000008085-CALJACFG_00020	arCOG00980	SlpA	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_2	O	4.1e-24
GCA_000008085-CALJACFG_00030	arCOG04055	-	Archease,_SHS2_domain_containing_protein_involved_in_activation_of_tRNA_ligase_RtcB	J	1.6e-29
GCA_000008085-CALJACFG_00040	arCOG00967	-	tRNA_m(1)G_methyltransferase	J	9.7e-90
GCA_000008085-CALJACFG_00050	arCOG02724	Ada	Methylated_DNA-protein_cysteine_methyltransferase	L	1.6e-19
GCA_000008085-CALJACFG_00060	-	-	-	-	-
GCA_000008085-CALJACFG_00070	arCOG04126	RPL37A	Ribosomal_protein_L37E	J	6.3e-17
GCA_000008085-CALJACFG_00080	arCOG01358	MiaB	2-methylthioadenine_synthetase	J	1.8e-107
GCA_000008085-CALJACFG_00090	arCOG03648	-	Uncharacterized_protein	S	9.3e-29
GCA_000008085-CALJACFG_00100	-	-	-	-	-
GCA_000008085-CALJACFG_00110	arCOG02146	-	Desulfoferredoxin	C	2.5e-29
GCA_000008085-CALJACFG_00120	arCOG01409	RfaG	Glycosyltransferase	M	3.8e-58
GCA_000008085-CALJACFG_00130	arCOG00938	-	Radical_SAM_superfamily_enzyme	R	7.7e-40
GCA_000008085-CALJACFG_00140	arCOG04355	TehA	Tellurite_resistance_protein_or_related_permease	P	5.6e-58
GCA_000008085-CALJACFG_00150	arCOG01883	THY1	Thymidylate_synthase	F	2.5e-92
GCA_000008085-CALJACFG_00160	-	-	-	-	-
GCA_000008085-CALJACFG_00170	arCOG04194	Cas2	CRISPR-associated_protein_Cas2	V	1.1e-17
GCA_000008085-CALJACFG_00180	arCOG01452	Cas1	CRISPR-associated_protein_Cas1	V	3.3e-52
GCA_000008085-CALJACFG_00190	-	-	-	-	-
GCA_000008085-CALJACFG_00200	arCOG03617	Cas7	CRISPR-Cas_system_related_protein_Cas7,_RAMP_superfamily	V	4e-36
GCA_000008085-CALJACFG_00210	arCOG02758	Cas5	CRISPR-Cas_system_related_protein_Cas5,_RAMP_superfamily	V	9e-40
GCA_000008085-CALJACFG_00220	arCOG01445	Cas3	CRISPR-associated_helicase_Cas3	V	1e-145
GCA_000008085-CALJACFG_00230	arCOG00794	Cas4	CRISPR-associated_protein_Cas4,_RecB_family_nuclease	V	3.1e-54
GCA_000008085-CALJACFG_00240	arCOG04065	PqqL	Zn-dependent_peptidase	R	5e-10
GCA_000008085-CALJACFG_00250	arCOG04065	PqqL	Zn-dependent_peptidase	R	1.1e-73
GCA_000008085-CALJACFG_00260	arCOG01065	HcaD	NAD(FAD)-dependent_dehydrogenase	R	2.5e-106
GCA_000008085-CALJACFG_00270	arCOG00666	GCD1	N-acetylglucosamine-1-phosphate_uridyltransferase	M	1.6e-38
GCA_000008085-CALJACFG_00280	arCOG06945	-	Uncharacterized_protein	S	2.3e-53
GCA_000008085-CALJACFG_00290	arCOG02960	-	Peptidase_family_M28/Iap_family	R	7.3e-27
GCA_000008085-CALJACFG_00300	-	-	-	-	-
GCA_000008085-CALJACFG_00310	arCOG01975	TrxA	Thiol-disulfide_isomerase_or_thioredoxin	O	8e-06
GCA_000008085-CALJACFG_00320	arCOG02404	CcdA	Cytochrome_c_biogenesis_protein	C	4.1e-44
GCA_000008085-CALJACFG_00330	arCOG04150	Krr1	rRNA_processing_protein_Krr1/Pno1,_contains_KH_domain	J	1.1e-24
GCA_000008085-CALJACFG_00340	-	-	-	-	-
GCA_000008085-CALJACFG_00350	-	-	-	-	-
GCA_000008085-CALJACFG_00360	-	-	-	-	-
GCA_000008085-CALJACFG_00370	-	-	-	-	-
GCA_000008085-CALJACFG_00380	-	-	-	-	-
GCA_000008085-CALJACFG_00390	arCOG04208	RPL43A	Ribosomal_protein_L37AE/L43A	J	7.7e-09
GCA_000008085-CALJACFG_00400	arCOG00998	LSM1	Small_nuclear_ribonucleoprotein_(snRNP)_homolog	K	5.3e-08
GCA_000008085-CALJACFG_00410	arCOG01764	SPT15	TATA-box_binding_protein_(TBP),_component_of_TFIID_and_TFIIB	K	6.7e-37
GCA_000008085-CALJACFG_00420	-	-	-	-	-
GCA_000008085-CALJACFG_00430	arCOG03056	PgpB	Membrane-associated_phospholipid_phosphatase	I	2.7e-09
GCA_000008085-CALJACFG_00440	arCOG04247	YpwA	Zn-dependent_carboxypeptidase,_M32_family	E	2.8e-190
GCA_000008085-CALJACFG_00450	arCOG04305	RPS26B	Ribosomal_protein_S26	J	7.1e-14
GCA_000008085-CALJACFG_00460	arCOG01185	Bud32	tRNA_A-37_threonylcarbamoyl_transferase_component_Bud32	J	4.2e-32
GCA_000008085-CALJACFG_00470	arCOG01527	TopA	Topoisomerase_IA	L	1.6e-95
GCA_000008085-CALJACFG_00480	arCOG01676	ThiF	Dinucleotide-utilizing_enzyme_involved_in_molybdopterin_and_thiamine_biosynthesis	H	6.7e-21
GCA_000008085-CALJACFG_00490	-	-	-	-	-
GCA_000008085-CALJACFG_00500	arCOG01204	-	Minimal_nucleotidyltransferase	V	6.6e-121
GCA_000008085-CALJACFG_00510	arCOG01360	-	MiaB_family,_Radical_SAM_enzyme	R	1.8e-38
GCA_000008085-CALJACFG_00520	arCOG02200	Fpr	Flavodoxin_reductase_(ferredoxin-NADPH_reductase)_family_1	C	2.1e-50
GCA_000008085-CALJACFG_00530	arCOG01742	eRF1	Peptide_chain_release_factor_eRF1	J	1.4e-89
GCA_000008085-CALJACFG_00540	arCOG00122	TrmA	tRNA_(uracil-54,_C5)-methyltransferase	J	1.2e-172
GCA_000008085-CALJACFG_00550	arCOG06067	-	Uncharacterized_membrane_protein,_DUF373_family	S	9.6e-15
GCA_000008085-CALJACFG_00560	arCOG00486	CysS	Cysteinyl-tRNA_synthetase	J	1.5e-137
GCA_000008085-CALJACFG_00570	arCOG00467	CDC6	Cdc6-related_protein,_AAA_superfamily_ATPase	L	3.1e-81
GCA_000008085-CALJACFG_00580	-	-	-	-	-
GCA_000008085-CALJACFG_00590	arCOG04255	RpsL	Ribosomal_protein_S12	J	1.3e-51
GCA_000008085-CALJACFG_00600	arCOG04116	-	ATPase_(PilT_family)	R	5e-178
GCA_000008085-CALJACFG_00610	-	-	-	-	-
GCA_000008085-CALJACFG_00620	-	-	-	-	-
GCA_000008085-CALJACFG_00630	arCOG03199	AglH/Rfe	UDP-N-acetylmuramyl_pentapeptide_phosphotransferase/UDP-N-acetylglucosamine-1-phosphate_transferase	M	9.1e-41
GCA_000008085-CALJACFG_00640	-	-	-	-	-
GCA_000008085-CALJACFG_00650	arCOG04121	RnhB	Ribonuclease_HII	L	2.6e-48
GCA_000008085-CALJACFG_00660	arCOG00501	Rnz	Ribonuclease_Z,__beta-lactamase_superfamily_hydrolase	J	1.1e-66
GCA_000008085-CALJACFG_00670	arCOG04072	RplW	Ribosomal_protein_L23	J	2.9e-17
GCA_000008085-CALJACFG_00680	-	-	-	-	-
GCA_000008085-CALJACFG_00690	-	-	-	-	-
GCA_000008085-CALJACFG_00700	arCOG00969	-	Predicted_hydrolase_(metallo-beta-lactamase_superfamily)	R	7.6e-64
GCA_000008085-CALJACFG_00710	arCOG00328	PolB3	DNA_polymerase_PolB3	L	1.4e-91
GCA_000008085-CALJACFG_00720	arCOG04240	RpsK	Ribosomal_protein_S11	J	1.2e-47
GCA_000008085-CALJACFG_00730	-	-	-	-	-
GCA_000008085-CALJACFG_00740	-	-	-	-	-
GCA_000008085-CALJACFG_00750	arCOG01182	-	Predicted_Ser/Thr_protein_kinase	T	5.7e-22
GCA_000008085-CALJACFG_00760	-	-	-	-	-
GCA_000008085-CALJACFG_00770	arCOG05634	FdhE	Formate_dehydrogenase_maturation_protein_FdhE	O	1.2e-06
GCA_000008085-CALJACFG_00780	arCOG04236	SufC	Cysteine_desulfurase_activator_ATPase	O	2.2e-26
GCA_000008085-CALJACFG_00790	arCOG04088	RplR	Ribosomal_protein_L18	J	1.2e-76
