target name	accession	query name	accession2	E-value_full_sequence	score_full_sequence	bias_full_sequence	E-value_best_first_domain	score_best_first_domain	bias_best_first_domain	exp	reg	clu	ov	env	dom	rep	inc	Description_target
GCA_000017945-FLGBHGLA_05320	-	COG1110	-	0	1499.5	0.0	0	1499.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04360	-	COG1933	-	0	1383.3	0.1	0	1383.1	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12070	-	COG1201	-	0	1048.7	2.7	0	1048.5	2.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04270	-	COG1110	-	0	1015.9	1.7	1.8e-269	893.7	0.4	3.1	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_10470	-	COG0060	-	1.5e-297	986.7	18.1	1.8e-297	986.4	18.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03310	-	COG1110	-	7.5e-285	944.7	13.0	8.7e-285	944.5	13.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02390	-	COG0060	-	8.9e-283	937.8	6.6	1e-282	937.6	6.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13470	-	COG1155	-	4.5e-269	890.6	0.0	5e-269	890.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12390	-	COG3889	-	3.7e-252	836.2	12.6	4.1e-252	836.0	12.6	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01090	-	COG1155	-	1.2e-251	833.1	0.0	1.3e-251	833.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00780	-	COG2511	-	1.6e-248	823.4	16.7	1.8e-248	823.2	16.7	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00010	-	COG1201	-	3.7e-245	813.4	0.0	4.1e-245	813.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13380	-	COG1241	-	3.7e-241	799.0	0.1	4.1e-241	798.8	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06970	-	COG0068	-	1.7e-239	793.9	0.0	1.9e-239	793.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07020	-	COG1156	-	1.4e-237	785.7	0.0	1.6e-237	785.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00600	-	COG1855	-	2.8e-235	779.2	19.8	3.1e-235	779.0	19.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14460	-	COG0137	-	2.6e-234	777.3	1.4	3e-234	777.1	1.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07160	-	COG1222	-	1.6e-233	772.1	0.2	2.4e-118	392.8	0.1	2.1	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_14780	-	COG1222	-	4.2e-233	770.7	5.3	8.6e-119	394.2	1.5	2.0	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_09900	-	COG0129	-	1.7e-229	759.9	0.1	1.9e-229	759.8	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05020	-	COG4001	-	5.1e-225	744.6	0.0	5.6e-225	744.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12910	-	COG0046	-	4.2e-222	736.3	0.0	5.2e-222	736.0	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04970	-	COG1222	-	2.3e-221	732.0	1.6	8e-114	377.9	0.2	2.1	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_10620	-	COG2414	-	1.8e-219	727.2	0.7	2.1e-219	727.0	0.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01290	-	COG1444	-	9.9e-214	708.5	0.0	1.2e-213	708.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02230	-	COG0525	-	7.7e-212	702.9	6.2	1e-211	702.5	6.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00630	-	COG0417	-	3.5e-211	700.5	11.3	3.9e-211	700.3	11.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11840	-	COG5256	-	1.2e-211	699.6	0.4	1.4e-211	699.3	0.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12840	-	COG1855	-	1.1e-209	694.6	7.3	1.3e-209	694.4	7.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01980	-	COG0013	-	8.3e-205	679.5	0.0	1.3e-204	678.8	0.0	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07130	-	COG0417	-	1.6e-203	675.2	16.3	2.1e-203	674.8	16.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03360	-	COG0504	-	1.3e-203	674.2	0.0	1.5e-203	674.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04550	-	COG1110	-	2.1e-202	671.6	4.5	2.6e-202	671.3	4.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13930	-	COG1201	-	8.8e-202	669.9	0.6	1.1e-201	669.5	0.6	1.1	1	0	0	1	1	1	1	-
