GCA_000008085-CALJACFG_00010	IPR011545; IPR014001; IPR027417; IPR001650; IPR003593	DEAD/DEAH box helicase domain; Helicase superfamily 1/2, ATP-binding domain; P-loop containing nucleoside triphosphate hydrolase; Helicase, C-terminal; AAA+ ATPase domain	PF00270; PF00271	DEAD/DEAH box helicase; Helicase conserved C-terminal domain	GO:0003676|GO:0005524	-
GCA_000008085-CALJACFG_00020	-	-	-	-	-	-
GCA_000008085-CALJACFG_00030	IPR002804; IPR023572; IPR036820	Archease; Archease domain; Archease domain superfamily	PF01951	Archease protein family (MTH1598/TM1083)	-	-
GCA_000008085-CALJACFG_00040	IPR007364; IPR016742; IPR028564	RNA methyltransferase TK0422/Sfm1; tRNA methyltransferase, archaea; tRNA methyltransferase TRM10-type domain	PF04252	Predicted SAM-dependent RNA methyltransferase	GO:0008168; GO:0008175|GO:0030488	-
GCA_000008085-CALJACFG_00050	IPR001497; IPR014048; IPR036388; IPR036217	Methylated-DNA-[protein]-cysteine S-methyltransferase, active site; Methylated-DNA-[protein]-cysteine S-methyltransferase, DNA binding; Winged helix-like DNA-binding domain superfamily; Methylated DNA-protein cysteine methyltransferase, DNA binding domain	PF01035	6-O-methylguanine DNA methyltransferase, DNA binding domain	GO:0003908|GO:0006281; GO:0003824|GO:0006281; GO:0003824|GO:0006281; GO:0003824|GO:0006281	-
GCA_000008085-CALJACFG_00060	-	-	-	-	-	-
GCA_000008085-CALJACFG_00070	IPR001569; IPR011332; IPR011331	Ribosomal protein L37e; Zinc-binding ribosomal protein; Ribosomal protein L37ae/L37e	PF01907	Ribosomal protein L37e	GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412	-
GCA_000008085-CALJACFG_00080	IPR007197; IPR005839; IPR002792; IPR013848; IPR038135; IPR006638; IPR006466; IPR023404	Radical SAM; Methylthiotransferase; TRAM domain; Methylthiotransferase, N-terminal; Methylthiotransferase, N-terminal domain superfamily; Elp3/MiaB/NifB; MiaB-like tRNA modifying enzyme, archaeal-type; Radical SAM, alpha/beta horseshoe	PF01938; PF04055; PF00919	TRAM domain; Radical SAM superfamily; Uncharacterized protein family UPF0004	GO:0003824|GO:0051536; GO:0006400|GO:0016740|GO:0051539; GO:0051539; GO:0003824|GO:0051536; GO:0003824|GO:0051536; GO:0051539	-
GCA_000008085-CALJACFG_00090	-	-	-	-	-	-
GCA_000008085-CALJACFG_00100	-	-	-	-	-	-
GCA_000008085-CALJACFG_00110	IPR002742; IPR036073	Desulfoferrodoxin, ferrous iron-binding domain; Desulfoferrodoxin, ferrous iron-binding domain superfamily	PF01880	Desulfoferrodoxin	GO:0005506|GO:0016491|GO:0055114; GO:0005506|GO:0016491|GO:0055114; GO:0005506|GO:0016491|GO:0055114; GO:0005506|GO:0016491|GO:0055114	-
GCA_000008085-CALJACFG_00120	IPR028098	Glycosyltransferase subfamily 4-like, N-terminal domain	PF13692; PF13439	Glycosyl transferases group 1; Glycosyltransferase Family 4	-	-
GCA_000008085-CALJACFG_00130	IPR007197; IPR023885; IPR034481; IPR034395; IPR013785	Radical SAM; 4Fe4S-binding SPASM domain; Main SPASM domain-containing; SPASM/twitch domain-containing; Aldolase-type TIM barrel	PF13394; PF13186; PF04055	4Fe-4S single cluster domain; Iron-sulfur cluster-binding domain; Radical SAM superfamily	GO:0003824|GO:0051536; GO:0003824|GO:0051536; GO:0003824	-
GCA_000008085-CALJACFG_00140	IPR038665; IPR004695	Voltage-dependent anion channel superfamily; Voltage-dependent anion channel	PF03595	Voltage-dependent anion channel	GO:0016021|GO:0055085	-
GCA_000008085-CALJACFG_00150	IPR036098; IPR003669	Thymidylate synthase ThyX superfamily; Thymidylate synthase ThyX	PF02511	Thymidylate synthase complementing protein	GO:0006231|GO:0050660|GO:0050797; GO:0006231|GO:0050660|GO:0050797; GO:0006231|GO:0050660|GO:0050797; GO:0006231|GO:0050660|GO:0050797; GO:0006231|GO:0050660|GO:0050797	-
GCA_000008085-CALJACFG_00160	-	-	-	-	-	-
GCA_000008085-CALJACFG_00170	IPR021127; IPR019199	CRISPR-associated endonuclease Cas2; Virulence-associated protein D / CRISPR associated protein Cas2	PF09827	CRISPR associated protein Cas2	GO:0004521|GO:0043571; GO:0004521|GO:0043571; GO:0004521|GO:0043571	-
GCA_000008085-CALJACFG_00180	IPR002729; IPR019858	CRISPR-associated protein Cas1; CRISPR-associated protein Cas1, HMARI/TNEAP subtype	PF01867	CRISPR associated protein Cas1	GO:0003676|GO:0004519|GO:0043571|GO:0046872|GO:0051607; GO:0003676|GO:0004519|GO:0043571|GO:0046872|GO:0051607; GO:0003676|GO:0004519|GO:0043571|GO:0046872|GO:0051607; GO:0004520|GO:0043571|GO:0046872; GO:0004520|GO:0043571|GO:0046872; GO:0004520|GO:0043571|GO:0046872	-
GCA_000008085-CALJACFG_00190	-	-	-	-	-	-
GCA_000008085-CALJACFG_00200	IPR010154; IPR013414	CRISPR-associated protein Cas7/Cst2/DevR; CRISPR-associated protein Cas7,  subtype I-B/Tneap	PF01905	CRISPR-associated negative auto-regulator DevR/Csa2	-	-
GCA_000008085-CALJACFG_00210	IPR013422	CRISPR-associated protein Cas5, N-terminal	-	-	-	-
