accession	PFAM_hmm	PFAM_description	Pfam_Evalue
GCA_000008085-CALJACFG_00010	PF00270	DEAD/DEAH_box_helicase	3.4e-33
GCA_000008085-CALJACFG_00020	-	-	-
GCA_000008085-CALJACFG_00030	PF01951	Archease_protein_family_(MTH1598/TM1083)	4.3e-37
GCA_000008085-CALJACFG_00040	PF04252	Predicted_SAM-dependent_RNA_methyltransferase	7.2e-07
GCA_000008085-CALJACFG_00050	PF01035	6-O-methylguanine_DNA_methyltransferase,_DNA_binding_domain	7.8e-18
GCA_000008085-CALJACFG_00060	-	-	-
GCA_000008085-CALJACFG_00070	PF01907	Ribosomal_protein_L37e	9.8e-18
GCA_000008085-CALJACFG_00080	PF04055	Radical_SAM_superfamily	4.8e-26
GCA_000008085-CALJACFG_00090	-	-	-
GCA_000008085-CALJACFG_00100	-	-	-
GCA_000008085-CALJACFG_00110	PF01880	Desulfoferrodoxin	7.6e-29
GCA_000008085-CALJACFG_00120	PF13692	Glycosyl_transferases_group_1	1.8e-17
GCA_000008085-CALJACFG_00130	PF04055	Radical_SAM_superfamily	6.6e-13
GCA_000008085-CALJACFG_00140	PF03595	Voltage-dependent_anion_channel	5.8e-53
GCA_000008085-CALJACFG_00150	PF02511	Thymidylate_synthase_complementing_protein	1.9e-42
GCA_000008085-CALJACFG_00160	-	-	-
GCA_000008085-CALJACFG_00170	PF09827	CRISPR_associated_protein_Cas2	7.4e-19
GCA_000008085-CALJACFG_00180	PF01867	CRISPR_associated_protein_Cas1	6.7e-77
GCA_000008085-CALJACFG_00190	-	-	-
GCA_000008085-CALJACFG_00200	PF01905	CRISPR-associated_negative_auto-regulator_DevR/Csa2	1.6e-16
GCA_000008085-CALJACFG_00210	-	-	-
GCA_000008085-CALJACFG_00220	PF00270	DEAD/DEAH_box_helicase	3.8e-13
GCA_000008085-CALJACFG_00230	PF01930	Domain_of_unknown_function_DUF83	1.2e-52
GCA_000008085-CALJACFG_00240	PF00675	Insulinase_(Peptidase_family_M16)	1.6e-15
GCA_000008085-CALJACFG_00250	PF05193	Peptidase_M16_inactive_domain	1.1e-15
GCA_000008085-CALJACFG_00260	PF07992	Pyridine_nucleotide-disulphide_oxidoreductase	9.7e-21
GCA_000008085-CALJACFG_00270	PF00483	Nucleotidyl_transferase	6.1e-38
GCA_000008085-CALJACFG_00280	-	-	-
GCA_000008085-CALJACFG_00290	-	-	-
GCA_000008085-CALJACFG_00300	-	-	-
GCA_000008085-CALJACFG_00310	PF00462	Glutaredoxin	2.6e-06
GCA_000008085-CALJACFG_00320	-	-	-
GCA_000008085-CALJACFG_00330	-	-	-
GCA_000008085-CALJACFG_00340	-	-	-
GCA_000008085-CALJACFG_00350	PF13584	Oxygen_tolerance	1.1e-06
GCA_000008085-CALJACFG_00360	-	-	-
GCA_000008085-CALJACFG_00370	-	-	-
GCA_000008085-CALJACFG_00380	-	-	-
GCA_000008085-CALJACFG_00390	PF01780	Ribosomal_L37ae_protein_family	2e-27
GCA_000008085-CALJACFG_00400	PF01423	LSM_domain_	8.1e-15
GCA_000008085-CALJACFG_00410	PF00352	Transcription_factor_TFIID_(or_TATA-binding_protein,_TBP)	1.6e-38
GCA_000008085-CALJACFG_00420	-	-	-
GCA_000008085-CALJACFG_00430	-	-	-
GCA_000008085-CALJACFG_00440	PF02074	Carboxypeptidase_Taq_(M32)_metallopeptidase	2e-99
GCA_000008085-CALJACFG_00450	PF02591	C4-type_zinc_ribbon_domain	6e-06
GCA_000008085-CALJACFG_00460	PF01636	Phosphotransferase_enzyme_family	1.3e-08
GCA_000008085-CALJACFG_00470	PF01131	DNA_topoisomerase	4.3e-67
GCA_000008085-CALJACFG_00480	PF00899	ThiF_family	6.8e-13
GCA_000008085-CALJACFG_00490	-	-	-
GCA_000008085-CALJACFG_00500	PF01909	Nucleotidyltransferase_domain	7e-08
GCA_000008085-CALJACFG_00510	PF04055	Radical_SAM_superfamily	8.8e-11
GCA_000008085-CALJACFG_00520	PF00970	Oxidoreductase_FAD-binding_domain	3.3e-16
GCA_000008085-CALJACFG_00530	PF03464	eRF1_domain_2	3.5e-37
GCA_000008085-CALJACFG_00540	PF05958	tRNA_(Uracil-5-)-methyltransferase	6.9e-27
GCA_000008085-CALJACFG_00550	PF06146	Phosphate-starvation-inducible_E	9.1e-15
GCA_000008085-CALJACFG_00560	PF01406	tRNA_synthetases_class_I_(C)_catalytic_domain	1.1e-111
GCA_000008085-CALJACFG_00570	PF13191	AAA_ATPase_domain	1.3e-09
GCA_000008085-CALJACFG_00580	-	-	-
GCA_000008085-CALJACFG_00590	PF00164	Ribosomal_protein_S12/S23	7.8e-40
GCA_000008085-CALJACFG_00600	PF00437	Type_II/IV_secretion_system_protein	5e-14
GCA_000008085-CALJACFG_00610	-	-	-
GCA_000008085-CALJACFG_00620	-	-	-
GCA_000008085-CALJACFG_00630	PF00953	Glycosyl_transferase_family_4	1e-20
GCA_000008085-CALJACFG_00640	-	-	-
GCA_000008085-CALJACFG_00650	PF01351	Ribonuclease_HII	2.8e-44
GCA_000008085-CALJACFG_00660	PF12706	Beta-lactamase_superfamily_domain	1.5e-16
GCA_000008085-CALJACFG_00670	PF00276	Ribosomal_protein_L23	1.5e-08
GCA_000008085-CALJACFG_00680	-	-	-
GCA_000008085-CALJACFG_00690	-	-	-
GCA_000008085-CALJACFG_00700	PF00753	Metallo-beta-lactamase_superfamily	3.3e-07
GCA_000008085-CALJACFG_00710	PF00136	DNA_polymerase_family_B	9.4e-44
GCA_000008085-CALJACFG_00720	PF00411	Ribosomal_protein_S11	6.1e-41
GCA_000008085-CALJACFG_00730	-	-	-
GCA_000008085-CALJACFG_00740	-	-	-
GCA_000008085-CALJACFG_00750	-	-	-
GCA_000008085-CALJACFG_00760	-	-	-
GCA_000008085-CALJACFG_00770	PF13717	zinc-ribbon_domain	6e-06
GCA_000008085-CALJACFG_00780	PF00005	ABC_transporter	1.9e-15
GCA_000008085-CALJACFG_00790	PF17144	Ribosomal_large_subunit_proteins_60S_L5,_and_50S_L18	9.7e-26
GCA_000008085-CALJACFG_00800	PF10996	Beta-Casp_domain	3.2e-24
GCA_000008085-CALJACFG_00810	PF00208	Glutamate/Leucine/Phenylalanine/Valine_dehydrogenase	1.4e-68
GCA_000008085-CALJACFG_00820	PF01261	Xylose_isomerase-like_TIM_barrel	9.4e-22
GCA_000008085-CALJACFG_00830	PF01139	tRNA-splicing_ligase_RtcB	9.8e-161
