target name	accession	query name	accession2	E-value_full_sequence	score_full_sequence	bias_full_sequence	E-value_best_first_domain	score_best_first_domain	bias_best_first_domain	exp	reg	clu	ov	env	dom	rep	inc	Description_target
GCA_000008085-CALJACFG_04360	-	PolC_DP2	PF03833.12	0	1113.9	1.3	0	1113.9	1.3	1.5	2	0	0	2	2	2	1	-
GCA_000017945-FLGBHGLA_09900	-	ILVD_EDD	PF00920.20	4.4e-222	735.2	0.1	5.2e-222	734.9	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03690	-	FBPase_3	PF01950.15	5.1e-190	628.2	0.0	5.8e-190	628.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01480	-	Cpn60_TCP1	PF00118.23	3.5e-188	623.1	19.3	4.1e-188	622.9	19.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00970	-	Cpn60_TCP1	PF00118.23	2.5e-178	590.6	18.3	2.8e-178	590.4	18.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01050	-	ThiC_Rad_SAM	PF01964.17	2.6e-178	590.0	0.0	2.9e-178	589.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01260	-	DUF505	PF04458.11	4.8e-177	587.0	5.2	6e-177	586.7	5.2	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04000	-	RtcB	PF01139.16	1.1e-173	575.1	0.0	1.2e-173	574.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10470	-	tRNA-synt_1	PF00133.21	2.2e-173	574.6	12.8	2.9e-173	574.3	12.8	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09260	-	Cpn60_TCP1	PF00118.23	3.7e-173	573.6	13.5	4.3e-173	573.3	13.5	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02390	-	tRNA-synt_1	PF00133.21	4.2e-171	567.1	6.7	4.3e-131	435.0	6.6	2.3	2	0	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_01590	-	AdoMet_Synthase	PF01941.18	5.2e-168	555.8	1.4	5.9e-168	555.7	1.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06580	-	Arginosuc_synth	PF00764.18	5.6e-163	539.7	0.0	6.6e-163	539.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00830	-	RtcB	PF01139.16	9.8e-161	532.4	0.0	1.1e-160	532.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09920	-	TIP49	PF06068.12	1.5e-152	505.1	0.8	1.8e-152	504.8	0.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03460	-	PEPcase_2	PF14010.5	1.3e-150	499.1	0.1	1.4e-150	499.0	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11900	-	tRNA-synt_1g	PF09334.10	1e-149	495.5	0.0	1.3e-149	495.2	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03600	-	NRDD	PF13597.5	2.9e-148	492.0	0.0	3.3e-148	491.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03290	-	ALAD	PF00490.20	4.7e-148	489.4	0.0	5.4e-148	489.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05070	-	ABC_ATPase	PF09818.8	2.6e-147	488.2	0.0	3.4e-147	487.8	0.0	1.1	1	0	0	1	1	1	1	-
