accession	TIRGR	TIGR_description	EC	TIGR_Evalue
GCA_000008085-CALJACFG_00010	TIGR04121	DEXH_box_helicase,_DNA_ligase-associated	3.6.4.-	1e-145
GCA_000008085-CALJACFG_00020	-	-	-	-
GCA_000008085-CALJACFG_00030	-	-	-	-
GCA_000008085-CALJACFG_00040	-	-	-	-
GCA_000008085-CALJACFG_00050	TIGR00589	methylated-DNA--[protein]-cysteine_S-methyltransferase	2.1.1.63	1.1e-17
GCA_000008085-CALJACFG_00060	-	-	-	-
GCA_000008085-CALJACFG_00070	-	-	-	-
GCA_000008085-CALJACFG_00080	TIGR01578	MiaB-like_tRNA_modifying_enzyme,_archaeal-type	-	3.2e-118
GCA_000008085-CALJACFG_00090	-	-	-	-
GCA_000008085-CALJACFG_00100	-	-	-	-
GCA_000008085-CALJACFG_00110	TIGR00332	desulfoferrodoxin_ferrous_iron-binding_domain	-	3.6e-22
GCA_000008085-CALJACFG_00120	TIGR03087	sugar_transferase,_PEP-CTERM/EpsH1_system_associated	-	4e-22
GCA_000008085-CALJACFG_00130	TIGR03470	hopanoid_biosynthesis_associated_radical_SAM_protein_HpnH	-	1.7e-24
GCA_000008085-CALJACFG_00140	TIGR00816	C4-dicarboxylate_transporter/malic_acid_transport_protein	-	3.7e-44
GCA_000008085-CALJACFG_00150	TIGR02170	thymidylate_synthase,_flavin-dependent	2.1.1.148	1.8e-28
GCA_000008085-CALJACFG_00160	-	-	-	-
GCA_000008085-CALJACFG_00170	TIGR01573	CRISPR-associated_endonuclease_Cas2	-	1.7e-15
GCA_000008085-CALJACFG_00180	TIGR03641	CRISPR-associated_endonuclease_Cas1,_subtype_I-B/HMARI/TNEAP	-	2.3e-119
GCA_000008085-CALJACFG_00190	-	-	-	-
GCA_000008085-CALJACFG_00200	TIGR02585	CRISPR-associated_protein_Cas7/Cst2/DevR,_subtype_I-B/TNEAP	-	2.1e-81
GCA_000008085-CALJACFG_00210	TIGR02593	CRISPR-associated_protein_Cas5	-	9.6e-12
GCA_000008085-CALJACFG_00220	TIGR01587	CRISPR-associated_helicase_Cas3	-	4.3e-79
GCA_000008085-CALJACFG_00230	TIGR00372	CRISPR-associated_protein_Cas4	-	9.2e-24
GCA_000008085-CALJACFG_00240	-	-	-	-
GCA_000008085-CALJACFG_00250	-	-	-	-
GCA_000008085-CALJACFG_00260	TIGR03169	pyridine_nucleotide-disulfide_oxidoreductase_family_protein	-	6.9e-12
GCA_000008085-CALJACFG_00270	TIGR03992	UDP-N-acetylglucosamine_diphosphorylase/glucosamine-1-phosphate_N-acetyltransferase	2.7.7.23|2.3.1.157	1.2e-28
GCA_000008085-CALJACFG_00280	-	-	-	-
GCA_000008085-CALJACFG_00290	-	-	-	-
GCA_000008085-CALJACFG_00300	-	-	-	-
GCA_000008085-CALJACFG_00310	-	-	-	-
GCA_000008085-CALJACFG_00320	-	-	-	-
GCA_000008085-CALJACFG_00330	TIGR03665	arCOG04150_universal_archaeal_KH_domain_protein	-	1.4e-44
GCA_000008085-CALJACFG_00340	-	-	-	-
GCA_000008085-CALJACFG_00350	-	-	-	-
GCA_000008085-CALJACFG_00360	-	-	-	-
GCA_000008085-CALJACFG_00370	-	-	-	-
GCA_000008085-CALJACFG_00380	-	-	-	-
GCA_000008085-CALJACFG_00390	TIGR00280	ribosomal_protein_eL43	-	2.9e-29
GCA_000008085-CALJACFG_00400	-	-	-	-
GCA_000008085-CALJACFG_00410	-	-	-	-
GCA_000008085-CALJACFG_00420	-	-	-	-
GCA_000008085-CALJACFG_00430	-	-	-	-
GCA_000008085-CALJACFG_00440	-	-	-	-
GCA_000008085-CALJACFG_00450	-	-	-	-
GCA_000008085-CALJACFG_00460	TIGR03724	Kae1-associated_kinase_Bud32	2.7.-.-	1.7e-53
GCA_000008085-CALJACFG_00470	TIGR01057	DNA_topoisomerase_I	5.99.1.2	4.6e-111
GCA_000008085-CALJACFG_00480	TIGR02356	thiazole_biosynthesis_adenylyltransferase_ThiF	2.7.7.73	6.2e-11
GCA_000008085-CALJACFG_00490	-	-	-	-
GCA_000008085-CALJACFG_00500	-	-	-	-
GCA_000008085-CALJACFG_00510	TIGR01210	radical_SAM_enzyme,_TIGR01210_family	-	3e-26
GCA_000008085-CALJACFG_00520	TIGR02160	phenylacetate-CoA_oxygenase/reductase,_PaaK_subunit	-	3.3e-21
GCA_000008085-CALJACFG_00530	TIGR03676	peptide_chain_release_factor_1,_archaeal_and_eukaryotic_forms	-	1.9e-134
GCA_000008085-CALJACFG_00540	TIGR00479	23S_rRNA_(uracil-5-)-methyltransferase_RumA	2.1.1.-	9.9e-78
GCA_000008085-CALJACFG_00550	-	-	-	-
GCA_000008085-CALJACFG_00560	TIGR00435	cysteine--tRNA_ligase	6.1.1.16	1.2e-137
GCA_000008085-CALJACFG_00570	TIGR02928	orc1/cdc6_family_replication_initiation_protein	-	2.6e-80
GCA_000008085-CALJACFG_00580	-	-	-	-
GCA_000008085-CALJACFG_00590	TIGR00982	ribosomal_protein_uS12	-	3.1e-64
GCA_000008085-CALJACFG_00600	TIGR01420	twitching_motility_protein	-	4.1e-11
GCA_000008085-CALJACFG_00610	-	-	-	-
GCA_000008085-CALJACFG_00620	-	-	-	-
GCA_000008085-CALJACFG_00630	-	-	-	-
GCA_000008085-CALJACFG_00640	-	-	-	-
GCA_000008085-CALJACFG_00650	TIGR00729	ribonuclease_HII	3.1.26.4	1.7e-49
GCA_000008085-CALJACFG_00660	TIGR02651	ribonuclease_Z	3.1.26.11	2.2e-100
GCA_000008085-CALJACFG_00670	TIGR03636	ribosomal_protein_uL23	-	1.2e-27
GCA_000008085-CALJACFG_00680	-	-	-	-
GCA_000008085-CALJACFG_00690	-	-	-	-
GCA_000008085-CALJACFG_00700	-	-	-	-
GCA_000008085-CALJACFG_00710	TIGR00592	DNA_polymerase_(pol2)	2.7.7.7	1.5e-43
GCA_000008085-CALJACFG_00720	TIGR03628	ribosomal_protein_uS11	-	1.5e-59
GCA_000008085-CALJACFG_00730	-	-	-	-
GCA_000008085-CALJACFG_00740	-	-	-	-
GCA_000008085-CALJACFG_00750	-	-	-	-
GCA_000008085-CALJACFG_00760	-	-	-	-
GCA_000008085-CALJACFG_00770	TIGR02159	phenylacetate-CoA_oxygenase,_PaaJ_subunit	-	8.3e-06
GCA_000008085-CALJACFG_00780	TIGR01978	FeS_assembly_ATPase_SufC	-	7.1e-25
GCA_000008085-CALJACFG_00790	-	-	-	-
GCA_000008085-CALJACFG_00800	TIGR03675	arCOG00543_universal_archaeal_KH-domain/beta-lactamase-domain_protein	-	1.4e-248
GCA_000008085-CALJACFG_00810	-	-	-	-
GCA_000008085-CALJACFG_00820	TIGR00587	apurinic_endonuclease_(APN1)	-	4.1e-14
GCA_000008085-CALJACFG_00830	TIGR03073	release_factor_H-coupled_RctB_family_protein	-	4.6e-51
GCA_000008085-CALJACFG_00840	-	-	-	-
GCA_000008085-CALJACFG_00850	-	-	-	-
GCA_000008085-CALJACFG_00860	-	-	-	-
GCA_000008085-CALJACFG_00870	-	-	-	-
GCA_000008085-CALJACFG_00880	TIGR00483	translation_elongation_factor_EF-1,_subunit_alpha	-	1.2e-190
GCA_000008085-CALJACFG_00890	TIGR01046	ribosomal_protein_uS10	-	9.6e-30
GCA_000008085-CALJACFG_00900	-	-	-	-
GCA_000008085-CALJACFG_00910	-	-	-	-
GCA_000008085-CALJACFG_00920	-	-	-	-
GCA_000008085-CALJACFG_00930	TIGR03674	flap_structure-specific_endonuclease	3.1.-.-	3.5e-148
GCA_000008085-CALJACFG_00940	TIGR00467	lysine--tRNA_ligase	6.1.1.6	1.4e-88
GCA_000008085-CALJACFG_00950	-	-	-	-
GCA_000008085-CALJACFG_00960	-	-	-	-
GCA_000008085-CALJACFG_00970	-	-	-	-
GCA_000008085-CALJACFG_00980	TIGR03673	50S_ribosomal_protein_uL14	-	2e-60
GCA_000008085-CALJACFG_00990	-	-	-	-
GCA_000008085-CALJACFG_01000	-	-	-	-
GCA_000008085-CALJACFG_01010	-	-	-	-
GCA_000008085-CALJACFG_01020	-	-	-	-
GCA_000008085-CALJACFG_01030	-	-	-	-
GCA_000008085-CALJACFG_01040	-	-	-	-
GCA_000008085-CALJACFG_01050	-	-	-	-
GCA_000008085-CALJACFG_01060	-	-	-	-
GCA_000008085-CALJACFG_01070	-	-	-	-
GCA_000008085-CALJACFG_01080	TIGR01632	ribosomal_protein_uL11	-	8e-34
GCA_000008085-CALJACFG_01090	TIGR01043	ATP_synthase_archaeal,_A_subunit	3.6.3.14	2e-247
GCA_000008085-CALJACFG_01100	TIGR00442	histidine--tRNA_ligase	6.1.1.21	2e-105
GCA_000008085-CALJACFG_01110	-	-	-	-
GCA_000008085-CALJACFG_01120	-	-	-	-
GCA_000008085-CALJACFG_01130	-	-	-	-
GCA_000008085-CALJACFG_01140	-	-	-	-
GCA_000008085-CALJACFG_01150	TIGR00308	N2,N2-dimethylguanosine_tRNA_methyltransferase	2.1.1.-	1.1e-80
GCA_000008085-CALJACFG_01160	-	-	-	-
GCA_000008085-CALJACFG_01170	-	-	-	-
GCA_000008085-CALJACFG_01180	TIGR03594	ribosome-associated_GTPase_EngA	-	1.2e-06
GCA_000008085-CALJACFG_01190	-	-	-	-
GCA_000008085-CALJACFG_01200	TIGR01353	putative_dGTPase	3.1.5.1	4.6e-14
GCA_000008085-CALJACFG_01210	TIGR00233	tryptophan--tRNA_ligase	6.1.1.2	6.3e-80
GCA_000008085-CALJACFG_01220	-	-	-	-
GCA_000008085-CALJACFG_01230	TIGR00644	single-stranded-DNA-specific_exonuclease_RecJ	3.1.-.-	1.3e-11
GCA_000008085-CALJACFG_01240	TIGR02173	putative_cytidylate_kinase	2.7.4.14	1.2e-11
GCA_000008085-CALJACFG_01250	TIGR01969	cell_division_ATPase_MinD	-	1.5e-50
GCA_000008085-CALJACFG_01260	-	-	-	-
GCA_000008085-CALJACFG_01270	-	-	-	-
GCA_000008085-CALJACFG_01280	-	-	-	-
GCA_000008085-CALJACFG_01290	TIGR02651	ribonuclease_Z	3.1.26.11	4.2e-25
GCA_000008085-CALJACFG_01300	TIGR00432	tRNA-guanine(15)_transglycosylase	2.4.2.48	7.1e-101
GCA_000008085-CALJACFG_01310	-	-	-	-
GCA_000008085-CALJACFG_01320	TIGR02153	glutamyl-tRNA(Gln)_amidotransferase,_subunit_D	6.3.5.-	1.4e-114
GCA_000008085-CALJACFG_01330	-	-	-	-
GCA_000008085-CALJACFG_01340	-	-	-	-
GCA_000008085-CALJACFG_01350	-	-	-	-
GCA_000008085-CALJACFG_01360	TIGR00523	translation_initiation_factor_eIF-1A	-	6.2e-22
GCA_000008085-CALJACFG_01370	TIGR01980	FeS_assembly_protein_SufB	-	5.7e-14
GCA_000008085-CALJACFG_01380	-	-	-	-
GCA_000008085-CALJACFG_01390	TIGR00065	cell_division_protein_FtsZ	-	1.2e-112
