accession	TopHit	E_value	PecID	TaxID	TaxString
GCA_000008085-CALJACFG_00010	AAR38857.1_NEQ003_[Nanoarchaeum_equitans_Kin4-M]	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00020	AAR38858.1_NEQ002_[Nanoarchaeum_equitans_Kin4-M]	2.2e-88	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00030	AAR38859.1_NEQ004_[Nanoarchaeum_equitans_Kin4-M]	5.9e-82	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00040	AAR38860.1_NEQ005_[Nanoarchaeum_equitans_Kin4-M]	2.5e-172	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00050	AAR38861.1_NEQ007_[Nanoarchaeum_equitans_Kin4-M]	3.8e-72	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00060	AAR38862.1_NEQ006_[Nanoarchaeum_equitans_Kin4-M]	7.6e-65	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00070	RLG02852.1_50S_ribosomal_protein_L37e_[Thaumarchaeota_archaeon]	1.4e-12	76.7	2026795	Archaea,Thaumarchaeota,none,none,none,none,Thaumarchaeota_archaeon
GCA_000008085-CALJACFG_00080	AAR38863.1_NEQ008_[Nanoarchaeum_equitans_Kin4-M]	1.0e-237	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00090	AAR38864.1_NEQ009_[Nanoarchaeum_equitans_Kin4-M]	2.1e-48	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00100	AAR38865.1_NEQ010_[Nanoarchaeum_equitans_Kin4-M]	5.6e-197	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00110	4BV1_A_Chain_A,_Superoxide_Reductase_(neelaredoxin)_From_Nanoarchaeum_Equitans	5.6e-58	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00120	AAR38867.1_NEQ012_[Nanoarchaeum_equitans_Kin4-M]	3.2e-192	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00130	AAR38868.1_NEQ013_[Nanoarchaeum_equitans_Kin4-M]	1.8e-203	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00140	AAR38869.1_NEQ014_[Nanoarchaeum_equitans_Kin4-M]	6.1e-166	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00150	AAR38870.1_NEQ015_[Nanoarchaeum_equitans_Kin4-M]	3.7e-204	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00160	-	-	-	-	-
