accession	BinID	NewContigID	OldContigId	ContigIdMerge	ContigNewLength	ContigOldLength	GC	ProteinID	ProteinGC	ProteinLength	Prokka	NCBI_COG	NCBI_COG_Description	PathwayID	Pathway	NCBI_COG_evalue	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue	KO_hmm	e_value	bit_score	bit_score_cutoff	Definition	confidence	PFAM_hmm	PFAM_description	Pfam_Evalue	TIRGR	TIGR_description	EC	TIGR_Evalue	CAZy	CAZy_evalue	Description	TDBD_ID	TPDB_evalue	HydDB	Description	HydDB_evalue	IPR	IPRMdescription	IPR_PFAM	IPR_PFAMdescription	TopHit	E_value	PecID	TaxID	TaxString
GCA_000008085-CALJACFG_00010	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00010	0.049	602	ATP-dependent DNA helicase Hel308	COG1201	Lhr-like_helicase	L	-	3.7e-245	arCOG00557	Lhr	Lhr-like_helicase_with_C-terminal_Zn_finger_domain	R	7.6e-216	K03724	8.5e-225	745.8	268.03	ATP-dependent_helicase_Lhr_and_Lhr-like_helicase_[EC:3.6.4.-]	high_score	PF00270	DEAD/DEAH_box_helicase	3.4e-33	TIGR04121	DEXH_box_helicase,_DNA_ligase-associated	3.6.4.-	1e-145	-	-	-	-	-	-	-	-	IPR011545;_IPR014001;_IPR027417;_IPR001650;_IPR003593	DEAD/DEAH_box_helicase_domain;_Helicase_superfamily_1/2,_ATP-binding_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase;_Helicase,_C-terminal;_AAA+_ATPase_domain	PF00270;_PF00271	DEAD/DEAH_box_helicase;_Helicase_conserved_C-terminal_domain	AAR38857.1_NEQ003_[Nanoarchaeum_equitans_Kin4-M]	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00020	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00020	0.08	173	Putative FKBP-type peptidyl-prolyl cis-trans isomerase	COG1047	Peptidyl-prolyl_cis-trans_isomerase,_FKBP_type	O	-	1.1e-19	arCOG00980	SlpA	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_2	O	4.1e-24	K03774	9.9e-17	58.2	139.97	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_SlpA_[EC:5.2.1.8]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38858.1_NEQ002_[Nanoarchaeum_equitans_Kin4-M]	2.2e-88	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00030	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00030	0.072	152	Protein archease	COG1371	Archease,_activates_RNA_ligation_by_RtcB_(tRNA_splicing)	J	-	8.3e-35	arCOG04055	-	Archease,_SHS2_domain_containing_protein_involved_in_activation_of_tRNA_ligase_RtcB	J	1.6e-29	-	-	-	-	-	-	PF01951	Archease_protein_family_(MTH1598/TM1083)	4.3e-37	-	-	-	-	-	-	-	-	-	-	-	-	IPR002804;_IPR023572;_IPR036820	Archease;_Archease_domain;_Archease_domain_superfamily	PF01951	Archease_protein_family_(MTH1598/TM1083)	AAR38859.1_NEQ004_[Nanoarchaeum_equitans_Kin4-M]	5.9e-82	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00040	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00040	0.042	306	tRNA (adenine(9)-N1)-methyltransferase	COG2419	tRNA_(A,G)9-N-methylase_TRM10	J	tRNA_modification	9.9e-90	arCOG00967	-	tRNA_m(1)G_methyltransferase	J	9.7e-90	K15566	2.6e-78	260.2	184.00	tRNA_(adenine9-N1/guanine9-N1)-methyltransferase_[EC:2.1.1.218_2.1.1.221]	high_score	PF04252	Predicted_SAM-dependent_RNA_methyltransferase	7.2e-07	-	-	-	-	-	-	-	-	-	-	-	-	IPR007364;_IPR016742;_IPR028564	RNA_methyltransferase_TK0422/Sfm1;_tRNA_methyltransferase,_archaea;_tRNA_methyltransferase_TRM10-type_domain	PF04252	Predicted_SAM-dependent_RNA_methyltransferase	AAR38860.1_NEQ005_[Nanoarchaeum_equitans_Kin4-M]	2.5e-172	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00050	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00050	0.073	136	Methylated-DNA--protein-cysteine methyltransferase	-	-	-	-	-	arCOG02724	Ada	Methylated_DNA-protein_cysteine_methyltransferase	L	1.6e-19	K00567	7.4e-19	65.3	100.93	methylated-DNA-[protein]-cysteine_S-methyltransferase_[EC:2.1.1.63]	-	PF01035	6-O-methylguanine_DNA_methyltransferase,_DNA_binding_domain	7.8e-18	TIGR00589	methylated-DNA--[protein]-cysteine_S-methyltransferase	2.1.1.63	1.1e-17	-	-	-	-	-	-	-	-	IPR001497;_IPR014048;_IPR036388;_IPR036217	Methylated-DNA-[protein]-cysteine_S-methyltransferase,_active_site;_Methylated-DNA-[protein]-cysteine_S-methyltransferase,_DNA_binding;_Winged_helix-like_DNA-binding_domain_superfamily;_Methylated_DNA-protein_cysteine_methyltransferase,_DNA_binding_domain	PF01035	6-O-methylguanine_DNA_methyltransferase,_DNA_binding_domain	AAR38861.1_NEQ007_[Nanoarchaeum_equitans_Kin4-M]	3.8e-72	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00060	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00060	0.039	177	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38862.1_NEQ006_[Nanoarchaeum_equitans_Kin4-M]	7.6e-65	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00070	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00070	0.16	56	50S ribosomal protein L37e	COG2126	Ribosomal_protein_L37E	J	Archaeal_ribosomal_proteins	1.2e-18	arCOG04126	RPL37A	Ribosomal_protein_L37E	J	6.3e-17	K02922	7e-15	52.0	48.60	large_subunit_ribosomal_protein_L37e	high_score	PF01907	Ribosomal_protein_L37e	9.8e-18	-	-	-	-	-	-	-	-	-	-	-	-	IPR001569;_IPR011332;_IPR011331	Ribosomal_protein_L37e;_Zinc-binding_ribosomal_protein;_Ribosomal_protein_L37ae/L37e	PF01907	Ribosomal_protein_L37e	RLG02852.1_50S_ribosomal_protein_L37e_[Thaumarchaeota_archaeon]	1.4e-12	76.7	2026795	Archaea,Thaumarchaeota,none,none,none,none,Thaumarchaeota_archaeon
GCA_000008085-CALJACFG_00080	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00080	0.062	413	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	COG0621	tRNA_A37_methylthiotransferase_MiaB	J	tRNA_modification	3.3e-101	arCOG01358	MiaB	2-methylthioadenine_synthetase	J	1.8e-107	K15865	3e-126	418.5	343.70	threonylcarbamoyladenosine_tRNA_methylthiotransferase_CDKAL1_[EC:2.8.4.5]	high_score	PF04055	Radical_SAM_superfamily	4.8e-26	TIGR01578	MiaB-like_tRNA_modifying_enzyme,_archaeal-type	-	3.2e-118	-	-	-	-	-	-	-	-	IPR007197;_IPR005839;_IPR002792;_IPR013848;_IPR038135;_IPR006638;_IPR006466;_IPR023404	Radical_SAM;_Methylthiotransferase;_TRAM_domain;_Methylthiotransferase,_N-terminal;_Methylthiotransferase,_N-terminal_domain_superfamily;_Elp3/MiaB/NifB;_MiaB-like_tRNA_modifying_enzyme,_archaeal-type;_Radical_SAM,_alpha/beta_horseshoe	PF01938;_PF04055;_PF00919	TRAM_domain;_Radical_SAM_superfamily;_Uncharacterized_protein_family_UPF0004	AAR38863.1_NEQ008_[Nanoarchaeum_equitans_Kin4-M]	1.0e-237	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00090	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00090	0.071	98	hypothetical protein	-	-	-	-	-	arCOG03648	-	Uncharacterized_protein	S	9.3e-29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38864.1_NEQ009_[Nanoarchaeum_equitans_Kin4-M]	2.1e-48	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00100	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00100	0.052	341	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38865.1_NEQ010_[Nanoarchaeum_equitans_Kin4-M]	5.6e-197	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
